contig_ID,Methylation_MAG
s47993.ctg053172l,NA
s38682.ctg042589l,NA
s966.ctg001087l,NA
s1484.ctg001670l,NA
s3502.ctg003949l,NA
s10.ctg003127l,NA
s10.ctg002374l,NA
s12736.ctg014122l,NA
s10.ctg047157l,NA
s1625.ctg001829l,NA
s13013.ctg014425l,NA
s31734.ctg034926l,NA
s23301.ctg025650l,NA
s51030.ctg056786l,NA
s10.ctg020963l,NA
s24702.ctg027199l,NA
s13048.ctg014462l,NA
s4682.ctg005267l,NA
s35365.ctg038898l,NA
s24836.ctg027346l,NA
s37643.ctg041422l,NA
s26851.ctg029565l,NA
s41529.ctg045784l,NA
s48407.ctg053651l,NA
s50972.ctg056716l,NA
s38082.ctg041912l,NA
s52629.ctg058869l,NA
s30914.ctg034027l,NA
s10.ctg000057l,NA
s52940.ctg059263l,NA
s17133.ctg018950l,NA
s16627.ctg018403l,NA
s7694.ctg008591l,NA
s44298.ctg048915l,NA
s2750.ctg003099l,NA
s906.ctg001019l,NA
s7595.ctg008481l,NA
s17047.ctg018859l,NA
s28942.ctg031866l,NA
s2722.ctg003069l,NA
s7448.ctg008308l,NA
s9533.ctg010615l,NA
s27645.ctg030436l,NA
s31317.ctg034470l,NA
s28931.ctg031854l,NA
s15807.ctg017480l,NA
s52920.ctg059238l,NA
s10028.ctg011143l,NA
s2403.ctg002717l,NA
s20412.ctg022513l,NA
s29393.ctg032359l,NA
s49447.ctg054858l,NA
s13579.ctg015049l,NA
s8665.ctg009660l,NA
s30759.ctg033854l,NA
s18525.ctg020472l,NA
s45449.ctg050245l,NA
s43068.ctg047520l,NA
s35670.ctg039237l,NA
s53107.ctg059484l,NA
s40110.ctg044212l,NA
s19873.ctg021929l,NA
s18936.ctg020916l,NA
s6862.ctg007655l,NA
s10.ctg000062l,NA
s53995.ctg060740l,NA
s10.ctg055363l,NA
s31918.ctg035125l,NA
s24793.ctg027298l,NA
s5773.ctg006458l,NA
s65.ctg000078l,NA
s41247.ctg045468l,NA
s32950.ctg036250l,NA
s43317.ctg047795l,NA
s24879.ctg027391l,NA
s3908.ctg004408l,NA
s45265.ctg050028l,NA
s3267.ctg003678l,NA
s369.ctg000415l,NA
s8071.ctg009005l,NA
s5616.ctg006287l,NA
s10.ctg006400l,NA
s33180.ctg036497l,NA
s22253.ctg024509l,NA
s37127.ctg040850l,NA
s51667.ctg057582l,NA
s803.ctg000902l,NA
s29689.ctg032682l,NA
s936.ctg001055l,NA
s48433.ctg053678l,NA
s10.ctg001009l,NA
s27155.ctg029898l,NA
s8830.ctg009841l,NA
s10.ctg013340l,NA
s5300.ctg005945l,NA
s14885.ctg016471l,NA
s26245.ctg028888l,NA
s27185.ctg029930l,NA
s38681.ctg042588l,NA
s44588.ctg049256l,NA
s49890.ctg055398l,NA
s22341.ctg024601l,NA
s39883.ctg043963l,NA
s11617.ctg012885l,NA
s29814.ctg032821l,NA
s9515.ctg010597l,NA
s23722.ctg026127l,NA
s45670.ctg050492l,NA
s10.ctg002941l,NA
s17970.ctg019867l,NA
s6971.ctg007783l,NA
s10.ctg001318l,NA
s32856.ctg036149l,NA
s11021.ctg012229l,NA
s49602.ctg055042l,NA
s10.ctg012697l,NA
s768.ctg042316l,NA
s15051.ctg016659l,NA
s28300.ctg031169l,NA
s50024.ctg055555l,NA
s29516.ctg032495l,NA
s34220.ctg037631l,NA
s26702.ctg029402l,NA
s2230.ctg002524l,NA
s13425.ctg014881l,NA
s28980.ctg031905l,NA
s15417.ctg017053l,NA
s51415.ctg057254l,NA
s31706.ctg034895l,NA
s33678.ctg037041l,NA
s36957.ctg040657l,NA
s34493.ctg037935l,NA
s9632.ctg010719l,NA
s15080.ctg016690l,NA
s49711.ctg055172l,NA
s38860.ctg042786l,NA
s19188.ctg021185l,NA
s41639.ctg045905l,NA
s45275.ctg050040l,NA
s25879.ctg028480l,NA
s35.ctg000041l,NA
s33188.ctg036507l,NA
s6258.ctg006987l,NA
s2366.ctg060705l,NA
s41598.ctg045858l,NA
s28293.ctg031160l,NA
s28902.ctg031820l,NA
s13336.ctg014783l,NA
