contig_ID,Methylation_MAG
s25641.ctg036837l,C1
s3603.ctg005124l,C2
s2396.ctg003397l,C3
s3.ctg002540l,C9
s3.ctg005828l,C10
s3.ctg008624l,NA
s2030.ctg002865l,NA
s498.ctg000705l,NA
s3.ctg021958l,NA
s45902.ctg073735l,NA
s3.ctg007810l,NA
s3.ctg034885l,NA
s2142.ctg003036l,NA
s3.ctg054653l,NA
s4792.ctg006839l,NA
s25231.ctg036243l,NA
s21010.ctg030039l,NA
s2536.ctg003607l,NA
s3.ctg065259l,NA
s19304.ctg027621l,NA
s33910.ctg049517l,NA
s3.ctg055094l,NA
s3.ctg033710l,NA
s3251.ctg004605l,NA
s3.ctg033713l,NA
s17923.ctg025635l,NA
s3.ctg035427l,NA
s3.ctg024936l,NA
s3.ctg068538l,NA
s3.ctg041809l,NA
s3.ctg005977l,NA
s3.ctg044013l,NA
s3.ctg008938l,NA
s44359.ctg069620l,NA
s13202.ctg018885l,NA
s3.ctg015481l,NA
s3.ctg060374l,NA
s639.ctg003620l,NA
s15893.ctg022701l,NA
s3.ctg020958l,NA
s3.ctg039242l,NA
s3.ctg007267l,NA
s3.ctg008229l,NA
s3.ctg043870l,NA
s3.ctg025272l,NA
s241.ctg065052l,NA
s3.ctg013528l,NA
s3.ctg028786l,NA
s3.ctg005887l,NA
s3.ctg025714l,NA
s3.ctg037321l,NA
s3.ctg063468l,NA
s2636.ctg003747l,NA
s3.ctg007992l,NA
s3.ctg000616l,NA
s36378.ctg053680l,NA
s3.ctg046005l,NA
s25660.ctg036862l,NA
s39163.ctg058749l,NA
s3.ctg005602l,NA
s957.ctg001355l,NA
s3.ctg041290l,NA
s3.ctg063940l,NA
s13973.ctg019970l,NA
s3.ctg011214l,NA
s3.ctg047660l,NA
s6621.ctg009518l,NA
s3.ctg004263l,NA
s3.ctg029836l,NA
s3.ctg074423l,NA
s9866.ctg014106l,NA
s3.ctg032854l,NA
s3.ctg006221l,NA
s23710.ctg033966l,NA
s6376.ctg009162l,NA
s3.ctg064600l,NA
s3.ctg041692l,NA
s9886.ctg014135l,NA
s5358.ctg007656l,NA
s85.ctg007053l,NA
s241.ctg012204l,NA
s3.ctg035267l,NA
s21346.ctg030533l,NA
s14630.ctg020885l,NA
s3.ctg014154l,NA
s241.ctg058083l,NA
s3.ctg047931l,NA
s16422.ctg023472l,NA
s3.ctg063123l,NA
s349.ctg000490l,NA
s1568.ctg002221l,NA
s29073.ctg042078l,NA
s3.ctg003835l,NA
s241.ctg063110l,NA
s3.ctg030592l,NA
s3.ctg023339l,NA
s19738.ctg028233l,NA
s3.ctg048029l,NA
s3.ctg012338l,NA
s35963.ctg052912l,NA
s21160.ctg030261l,NA
s3.ctg067770l,NA
s45207.ctg071817l,NA
s3.ctg021593l,NA
s3.ctg063194l,NA
s39272.ctg058957l,NA
s13416.ctg069948l,NA
s43469.ctg067554l,NA
s1571.ctg002224l,NA
s3.ctg025589l,NA
s241.ctg070196l,NA
s581.ctg000832l,NA
s241.ctg021540l,NA
s6665.ctg009580l,NA
s26451.ctg038064l,NA
s33400.ctg048683l,NA
s33127.ctg048267l,NA
s37308.ctg055330l,NA
s23072.ctg033030l,NA
s3.ctg011757l,NA
s3.ctg060076l,NA
s3.ctg016476l,NA
s10957.ctg015679l,NA
s16834.ctg024053c,NA
s3.ctg048130l,NA
s3.ctg038067l,NA
s3.ctg036254l,NA
s3.ctg056660l,NA
s43991.ctg068732l,NA
s43488.ctg067598l,NA
s9185.ctg013121l,NA
s3.ctg062743l,NA
s3.ctg040441l,NA
s12379.ctg017744l,NA
s38649.ctg057789l,NA
s32538.ctg047390l,NA
s41138.ctg062538l,NA
s5183.ctg007409l,NA
s135.ctg000194l,NA
s3402.ctg004832l,NA
s3.ctg022038l,NA
s42558.ctg065535l,NA
s11131.ctg015935l,NA
s3.ctg067327l,NA
s33567.ctg048939l,NA
s3.ctg039268l,NA
s40905.ctg062080l,NA
s3.ctg014271l,NA
s13067.ctg018700l,NA
s3.ctg063139l,NA
s3.ctg014473l,NA
s31699.ctg046068l,NA
s3.ctg036940l,NA
s3.ctg045687l,NA
s26850.ctg038650l,NA
s3.ctg058383l,NA
s12.ctg009820l,NA
s4075.ctg005833l,NA
s3.ctg023781l,NA
s5983.ctg008576l,NA
s3699.ctg005273l,NA
s39600.ctg059538l,NA
s3.ctg002090l,NA
s3.ctg043150l,NA
s1989.ctg002797l,NA
s3.ctg049968l,NA
s3.ctg004817l,NA
s27296.ctg039333l,NA
s241.ctg032853l,NA
s3993.ctg005711l,NA
s45780.ctg073393l,NA
s3.ctg019430l,NA
s6991.ctg010039l,NA
s6403.ctg009201l,NA
s3.ctg031559l,NA
s3.ctg004226l,NA
s3.ctg066814l,NA
s3.ctg034606l,NA
s3.ctg055185l,NA
s3.ctg004767l,NA
s14273.ctg020379l,NA
s16030.ctg022904l,NA
s24286.ctg034815l,NA
s3.ctg057290l,NA
s3.ctg013741l,NA
s1254.ctg001778l,NA
s1349.ctg001907l,NA
s3.ctg023209l,NA
s3.ctg029203l,NA
s3.ctg024161l,NA
s3.ctg025225l,NA
s3.ctg053804l,NA
s3.ctg059702l,NA
s3.ctg038919l,NA
s3.ctg000915l,NA
s35584.ctg052272l,NA
s3.ctg071028l,NA
s27661.ctg039870l,NA
s3.ctg006074l,NA
s36188.ctg053341l,NA
s3.ctg005267l,NA
s40900.ctg062066l,NA
s3.ctg022508l,NA
s24875.ctg035691l,NA
s24959.ctg035823l,NA
s998.ctg001409l,NA
s45513.ctg072639l,NA
s241.ctg060324l,NA
s3.ctg072447l,NA
s3.ctg064454l,NA
s3.ctg015096l,NA
s3.ctg022082l,NA
s20494.ctg029301l,NA
s28118.ctg040580l,NA
s10914.ctg015623l,NA
s3.ctg052026l,NA
s19356.ctg027700l,NA
s3.ctg039307l,NA
s3.ctg005529l,NA
s3.ctg063646l,NA
s14281.ctg020389l,NA
s3.ctg066935l,NA
s14922.ctg021311l,NA
s41487.ctg063246l,NA
s3.ctg075511l,NA
s916.ctg001297l,NA
s17780.ctg025428l,NA
s9364.ctg013385l,NA
s26702.ctg038441l,NA
s15050.ctg021505l,NA
s22473.ctg032154c,NA
s18944.ctg027099l,NA
s3.ctg073572l,NA
s14518.ctg020732l,NA
s3.ctg066388l,NA
s11250.ctg016096l,NA
s3.ctg040780l,NA
s9212.ctg013167l,NA
s3.ctg060686l,NA
s17533.ctg025058l,NA
s3.ctg008038l,NA
s31989.ctg046554l,NA
s41407.ctg063088l,NA
s3.ctg064489l,NA
s3.ctg059232l,NA
s11733.ctg016801l,NA
s3.ctg025121l,NA
s1744.ctg002466l,NA
s3.ctg029007l,NA
s3.ctg035736l,NA
s5688.ctg008142l,NA
s24708.ctg035452l,NA
s3.ctg028074l,NA
s3.ctg029381l,NA
s3.ctg069623l,NA
