sample	percent	reads	taxon_id	taxon_name
EFF1	0.071727	2892	445	Legionella
EFF1	0.071107	2867	55	Polyangium
EFF1	0.070909	2859	1911577	Oryzomicrobium
EFF1	0.07076	2853	1960084	Rodentibacter
EFF1	0.070611	2847	1055688	Sandaracinus
EFF1	0.070388	2838	1914449	Rugosibacter
EFF1	0.070338	2836	2862745	Pseudobdellovibrio
EFF1	0.070239	2832	2745	Halomonas
EFF1	0.069296	2794	32	Myxococcus
EFF1	0.06818	2749	141948	Thermomonas
EFF1	0.067808	2734	2808942	Fluviibacter
EFF1	0.066271	2672	22	Shewanella
EFF1	0.066047	2663	123	Pirellula
EFF1	0.065849	2655	398041	Flavisolibacter
EFF1	0.064857	2615	83461	Corallococcus
EFF1	0.064435	2598	204476	Labrys
EFF1	0.063815	2573	105	Runella
EFF1	0.062278	2511	1522432	Pseudoduganella
EFF1	0.06193	2497	2742	Marinobacter
EFF1	0.061583	2483	970	Selenomonas
EFF1	0.061013	2460	1301	Streptococcus
EFF1	0.060665	2446	302485	Phaeobacter
EFF1	0.060393	2435	332102	Fluviicola
EFF1	0.060095	2423	482	Neisseria
EFF1	0.059698	2407	413	Methylococcus
EFF1	0.059425	2396	59	Vitreoscilla
EFF1	0.059326	2392	1827	Rhodococcus
EFF1	0.058557	2361	173479	Gemmatimonas
EFF1	0.058508	2359	2249462	Ferrigenium
EFF1	0.058086	2342	2569097	Anaerobutyricum
EFF1	0.058061	2341	416212	Ferrovum
EFF1	0.057888	2334	1763	Mycobacterium
EFF1	0.057714	2327	2349	Haliscomenobacter
EFF1	0.057416	2315	568987	Candidatus Hamiltonella
EFF1	0.056871	2293	33882	Microbacterium
EFF1	0.056821	2291	207244	Anaerostipes
EFF1	0.056672	2285	2943286	Sideroxyarcus
EFF1	0.056623	2283	429	Methylobacter
EFF1	0.056449	2276	467975	Iamia
EFF1	0.056375	2273	36853	Desulfitobacterium
EFF1	0.056251	2268	157	Treponema
EFF1	0.055829	2251	191	Azospirillum
EFF1	0.05573	2247	1874621	Panacibacter
EFF1	0.054415	2194	41275	Brevundimonas
EFF1	0.054291	2189	33042	Coprococcus
EFF1	0.053944	2175	75309	Rhodanobacter
EFF1	0.053696	2165	1961799	Lacunisphaera
EFF1	0.053349	2151	125216	Roseomonas
EFF1	0.053126	2142	120831	Dyadobacter
EFF1	0.053101	2141	2019482	Brevefilum
EFF1	0.05191	2093	48073	Microbulbifer
EFF1	0.051762	2087	2299	Desulfosarcina
EFF1	0.051538	2078	713	Actinobacillus
EFF1	0.051142	2062	2316020	Mediterraneibacter
EFF1	0.050968	2055	1808977	Candidatus Methylospira
EFF1	0.05067	2043	165697	Sphingopyxis
EFF1	0.050521	2037	43947	Tolumonas
EFF1	0.050298	2028	2900570	Candidatus Absconditicoccus
EFF1	0.049629	2001	501783	Cloacibacterium
EFF1	0.049182	1983	507	Alcaligenes
EFF1	0.049108	1980	1229970	Glaciimonas
EFF1	0.049033	1977	963	Herbaspirillum
EFF1	0.049009	1976	189330	Dorea
EFF1	0.04881	1968	407217	Aquitalea
EFF1	0.048711	1964	323620	Shinella
EFF1	0.048612	1960	233191	Caldilinea
EFF1	0.048165	1942	28231	Geobacter
EFF1	0.048091	1939	46913	Devosia
EFF1	0.047768	1926	396811	Fulvivirga
EFF1	0.047694	1923	1707	Cellulomonas
EFF1	0.047595	1919	590	Salmonella
EFF1	0.047099	1899	561	Escherichia
EFF1	0.046528	1876	2891323	Pseudazoarcus
EFF1	0.046479	1874	83618	Pseudoxanthomonas
EFF1	0.046454	1873	1129	Synechococcus
EFF1	0.045387	1830	50	Chondromyces
EFF1	0.045363	1829	171	Leptospira
EFF1	0.044966	1813	379899	Niabella
EFF1	0.044817	1807	186650	Microvirga
EFF1	0.044668	1801	504481	Sediminibacterium
EFF1	0.044569	1797	1649478	Pelolinea
EFF1	0.044346	1788	378210	Methyloversatilis
EFF1	0.044271	1785	1988031	Candidatus Promineifilum
EFF1	0.043924	1771	115782	Trichlorobacter
EFF1	0.043676	1761	2053	Gordonia
EFF1	0.043503	1754	407	Methylobacterium
EFF1	0.043403	1750	102106	Collinsella
EFF1	0.043329	1747	1649475	Paludibaculum
EFF1	0.043329	1747	1760987	Methylomagnum
EFF1	0.043081	1737	113	Gemmata
EFF1	0.043081	1737	1357	Lactococcus
EFF1	0.042982	1733	1742636	Candidatus Megaera
EFF1	0.042858	1728	352	Azotobacter
EFF1	0.042287	1705	1030	Thiothrix
EFF1	0.042114	1698	3051137	Paracidovorax
EFF1	0.042014	1694	2719313	Enterocloster
EFF1	0.041146	1659	2035811	Pseudodesulfovibrio
EFF1	0.040799	1645	323413	Dokdonella
EFF1	0.039956	1611	120961	Roseiflexus
EFF1	0.039906	1609	872	Desulfovibrio
EFF1	0.039534	1594	2804525	Lichenicola
EFF1	0.039509	1593	670516	Mycobacteroides
EFF1	0.039361	1587	2004797	Luteitalea
EFF1	0.039162	1579	110932	Leifsonia
EFF1	0.039113	1577	240411	Chitinimonas
EFF1	0.039013	1573	2698688	Paraflavitalea
EFF1	0.038741	1562	2747	Carnobacterium
EFF1	0.038294	1544	644355	Inhella
EFF1	0.03822	1541	1279	Staphylococcus
EFF1	0.038071	1535	357	Agrobacterium
EFF1	0.037997	1532	1649468	Melaminivora
EFF1	0.037426	1509	2891324	Pseudothauera
EFF1	0.037327	1505	1858563	Alkalimarinus
EFF1	0.037153	1498	178440	Opitutus
EFF1	0.036285	1463	547	Enterobacter
EFF1	0.036012	1452	1506553	Lachnoclostridium
EFF1	0.035764	1442	1769012	Arachidicoccus
EFF1	0.035715	1440	1227	Nitrosococcus
EFF1	0.03564	1437	323449	Pontibacter
EFF1	0.035492	1431	72763	Tessaracoccus
EFF1	0.035467	1430	929509	Solitalea
EFF1	0.035442	1429	204456	Gemmobacter
EFF1	0.035343	1425	239934	Akkermansia
EFF1	0.035095	1415	2824158	Aquirhabdus
EFF1	0.034921	1408	762296	Methylovulum
EFF1	0.034871	1406	518753	Luteolibacter
EFF1	0.034797	1403	1765964	Acidihalobacter
EFF1	0.034797	1403	2836216	Phnomibacter
EFF1	0.034772	1402	497	Psychrobacter
EFF1	0.034747	1401	57665	Sulfurospirillum
EFF1	0.034673	1398	906	Megasphaera
EFF1	0.034251	1381	234	Brucella
EFF1	0.034152	1377	354354	Niastella
EFF1	0.034028	1372	290174	Aquimarina
EFF1	0.033929	1368	390846	Echinicola
EFF1	0.033855	1365	40544	Sutterella
EFF1	0.03378	1362	226	Alteromonas
EFF1	0.033681	1358	400947	Deefgea
EFF1	0.033532	1352	168470	Laribacter
EFF1	0.033532	1352	212744	Rugamonas
EFF1	0.033433	1348	10	Cellvibrio
EFF1	0.033359	1345	29330	Alicyclobacillus
EFF1	0.03316	1337	204037	Dickeya
EFF1	0.032466	1309	85413	Bosea
EFF1	0.032168	1297	294702	Proteiniphilum
EFF1	0.031746	1280	54066	Xylophilus
EFF1	0.031722	1279	2901164	Stutzerimonas
EFF1	0.031622	1275	1177	Nostoc
EFF1	0.031548	1272	194	Campylobacter
EFF1	0.031498	1270	1295378	Methylogaea
EFF1	0.031474	1269	246875	Algoriphagus
EFF1	0.031424	1267	202746	Sulfurimonas
EFF1	0.03068	1237	846	Oxalobacter
EFF1	0.03063	1235	2944193	Simiaoa
EFF1	0.030556	1232	613	Serratia
EFF1	0.030457	1228	1663	Arthrobacter
EFF1	0.030432	1227	335405	Sphingosinicella
EFF1	0.030407	1226	1865	Actinoplanes
EFF1	0.03006	1212	40	Stigmatella
EFF1	0.029812	1202	2892396	Vescimonas
EFF1	0.029762	1200	186188	Xylanimonas
EFF1	0.029737	1199	2202	Methanospirillum
EFF1	0.029589	1193	1716	Corynebacterium
EFF1	0.029341	1183	1813	Amycolatopsis
EFF1	0.029167	1176	158846	Megamonas
EFF1	0.029043	1171	74030	Roseovarius
EFF1	0.028894	1165	893	Desulfobulbus
EFF1	0.02877	1160	780	Rickettsia
EFF1	0.02877	1160	191494	Conexibacter
EFF1	0.028597	1153	1073	Rhodopseudomonas
EFF1	0.028597	1153	2600304	Baekduia
EFF1	0.028572	1152	2986286	Horticoccus
EFF1	0.028349	1143	2803845	Usitatibacter
EFF1	0.028274	1140	118	Planctomyces
EFF1	0.028274	1140	2731450	Limnoglobus
EFF1	0.0282	1137	2034504	Sulfurivermis
EFF1	0.028175	1136	1730	Eubacterium
EFF1	0.028051	1131	1060	Rhodobacter
EFF1	0.027977	1128	1016	Capnocytophaga
EFF1	0.02753	1110	1649459	Hungatella
EFF1	0.027282	1100	1843210	Anaerocolumna
EFF1	0.027158	1095	28050	Lachnospira
EFF1	0.027133	1094	166953	Kaistia
EFF1	0.027108	1093	53246	Pseudoalteromonas
EFF1	0.027084	1092	43356	Kutzneria
EFF1	0.027084	1092	2789201	Candidatus Velamenicoccus
EFF1	0.027034	1090	1817	Nocardia
EFF1	0.026662	1075	31988	Aminobacter
EFF1	0.026637	1074	1107	Chloroflexus
EFF1	0.026513	1069	13134	Magnetospirillum
EFF1	0.026216	1057	367298	Phycicoccus
EFF1	0.026166	1055	292691	Christiangramia
EFF1	0.026116	1053	116071	Micropruina
EFF1	0.026042	1050	33951	Acetobacterium
EFF1	0.025968	1047	946234	Flavonifractor
EFF1	0.025868	1043	649460	Filimonas
EFF1	0.025794	1040	2910589	Geotalea
EFF1	0.025645	1034	2576890	Nibricoccus
EFF1	0.025546	1030	242605	Luteibacter
EFF1	0.025521	1029	20	Phenylobacterium
EFF1	0.025472	1027	213485	Micavibrio
EFF1	0.025323	1021	848	Fusobacterium
EFF1	0.025174	1015	544	Citrobacter
EFF1	0.025124	1013	427753	Humibacter
EFF1	0.024703	996	890	Desulfuromonas
EFF1	0.024653	994	55080	Brevibacillus
EFF1	0.024529	989	2760873	Tenuifilum
EFF1	0.024479	987	1085622	Propioniciclava
EFF1	0.024281	979	45654	Desulfonema
EFF1	0.024281	979	1156568	Methylovirgula
EFF1	0.024256	978	1827195	Caballeronia
EFF1	0.023785	959	434	Acetobacter
EFF1	0.023735	957	1860196	Pseudobacter
EFF1	0.023686	955	2911176	Aquibium
EFF1	0.023661	954	2812019	Pseudocnuella
EFF1	0.023512	948	836	Porphyromonas
EFF1	0.023091	931	364316	Verminephrobacter
EFF1	0.023091	931	2789775	Actinomarinicola
EFF1	0.023041	929	79206	Desulfosporosinus
EFF1	0.022991	927	1873	Micromonospora
EFF1	0.022818	920	3051138	Paenacidovorax
EFF1	0.02257	910	6	Azorhizobium
EFF1	0.022545	909	458032	Chloracidobacterium
EFF1	0.022545	909	1443590	Ferriphaselus
EFF1	0.022471	906	773	Bartonella
EFF1	0.022471	906	504090	Kushneria
EFF1	0.022446	905	75	Caulobacter
EFF1	0.022396	903	2591381	Dysosmobacter
EFF1	0.022297	899	2029	Kibdelosporangium
EFF1	0.022198	895	577309	Paraprevotella
EFF1	0.022098	891	2807511	Humisphaera
EFF1	0.022049	889	2758920	Paraconexibacter
EFF1	0.021875	882	1861863	Sinimarinibacterium
EFF1	0.021826	880	133	Methylocystis
EFF1	0.021801	879	830	Butyrivibrio
EFF1	0.021602	871	1652133	Halobacteriovorax
EFF1	0.021578	870	1742989	Glutamicibacter
EFF1	0.021454	865	2490452	Serpentinimonas
EFF1	0.021404	863	455076	Rhodocytophaga
EFF1	0.02133	860	395331	Methanoregula
EFF1	0.021082	850	2714594	Bremerella
EFF1	0.021032	848	2782231	Kaistella
EFF1	0.020982	846	231454	Dyella
EFF1	0.020982	846	2651583	Geomonas
EFF1	0.020883	842	283168	Odoribacter
EFF1	0.020784	838	2705399	Hypericibacter
EFF1	0.020734	836	885864	Jeongeupia
EFF1	0.020561	829	299566	Adhaeribacter
EFF1	0.020511	827	1936111	Fuerstiella
EFF1	0.020437	824	2975260	Parvicella
EFF1	0.020362	821	60136	Sulfitobacter
EFF1	0.020288	818	2676247	Aquirufa
EFF1	0.020263	817	53457	Janibacter
EFF1	0.020263	817	1921582	Orrella
EFF1	0.020164	813	1471399	Draconibacterium
EFF1	0.020065	809	57739	Vogesella
EFF1	0.020015	807	2571160	Trinickia
EFF1	0.019891	802	2357	Desulfomonile
EFF1	0.019866	801	657	Photobacterium
EFF1	0.019817	799	1344552	Noviherbaspirillum
EFF1	0.019792	798	53392	Thiodictyon
EFF1	0.019792	798	376469	Olivibacter
EFF1	0.019742	796	2370	Xylella
EFF1	0.019668	793	568394	Pseudogulbenkiania
EFF1	0.019668	793	2944815	Wielerella
EFF1	0.019643	792	629	Yersinia
EFF1	0.019519	787	42	Cystobacter
EFF1	0.019494	786	230666	Chitinibacter
EFF1	0.01942	783	2901189	Halopseudomonas
EFF1	0.019296	778	377315	Mariprofundus
EFF1	0.019246	776	2795605	Aureliella
EFF1	0.019172	773	1379908	Rufibacter
EFF1	0.019097	770	380738	Candidatus Kuenenia
EFF1	0.019073	769	2682228	Tepidiforma
EFF1	0.018899	762	2676781	Aquisediminimonas
EFF1	0.018725	755	2678352	Maribellus
EFF1	0.018676	753	1649453	Gimesia
EFF1	0.018626	751	2040	Aeromicrobium
EFF1	0.018577	749	1706036	Gemmatirosa
EFF1	0.018577	749	2709666	Pseudolysobacter
EFF1	0.018577	749	2715734	Candidatus Chazhemtobacterium
EFF1	0.018502	746	52959	Polaribacter
EFF1	0.018428	743	444459	Flagellimonas
EFF1	0.018428	743	1005038	Fimbriimonas
EFF1	0.018403	742	293088	Martelella
EFF1	0.018378	741	248744	Marvinbryantia
EFF1	0.018329	739	290425	Advenella
EFF1	0.018304	738	574697	Butyricimonas
EFF1	0.01818	733	53335	Pantoea
EFF1	0.01818	733	125287	Ornithinimicrobium
EFF1	0.01813	731	953	Wolbachia
EFF1	0.01813	731	2944198	Wansuia
EFF1	0.018105	730	1578	Lactobacillus
EFF1	0.018105	730	2802295	Nitratidesulfovibrio
EFF1	0.018056	728	1521255	Candidatus Paracaedibacter
EFF1	0.017907	722	282132	Candidatus Protochlamydia
EFF1	0.017857	720	2893022	Flagellatimonas
EFF1	0.017808	718	2807414	Anatilimnocola
EFF1	0.017758	716	3024544	Paracrocinitomix
EFF1	0.017684	713	568	Hafnia
EFF1	0.017634	711	2044	Pimelobacter
EFF1	0.017609	710	2834348	Caproicibacterium
EFF1	0.017585	709	39948	Dialister
EFF1	0.01756	708	2737	Vagococcus
EFF1	0.01751	706	218207	Desulfatibacillum
EFF1	0.017485	705	682522	Ilumatobacter
EFF1	0.017461	704	244127	Anaerotruncus
EFF1	0.017386	701	1155385	Proteiniclasticum
EFF1	0.017312	698	2915177	Sulfidibacter
EFF1	0.017188	693	34093	Simkania
EFF1	0.017113	690	2767887	Ligilactobacillus
EFF1	0.017089	689	1511635	Aquisphaera
EFF1	0.016964	684	262	Francisella
EFF1	0.016964	684	1938335	Sulfuritortus
EFF1	0.016865	680	413435	Solimonas
EFF1	0.016667	672	156973	Dysgonomonas
EFF1	0.016642	671	254245	Aquicella
EFF1	0.016642	671	2976759	Capillimicrobium
EFF1	0.016617	670	400060	Paludibacterium
EFF1	0.016592	669	1436289	Candidatus Symbiobacter
EFF1	0.016568	668	978	Cytophaga
EFF1	0.016568	668	82980	Leminorella
EFF1	0.016444	663	76831	Myroides
EFF1	0.016419	662	35753	Dactylosporangium
EFF1	0.016369	660	2233801	Ahniella
EFF1	0.016344	659	466152	Singulisphaera
EFF1	0.016295	657	312278	Emticicia
EFF1	0.015997	645	365348	Pelosinus
EFF1	0.015997	645	399320	Sphaerochaeta
EFF1	0.015972	644	32067	Leptotrichia
EFF1	0.015948	643	99	Ancylobacter
EFF1	0.015923	642	1502725	Effusibacillus
EFF1	0.015898	641	1955420	Silicimonas
EFF1	0.015774	636	42255	Rubrobacter
EFF1	0.015774	636	307628	Petrimonas
EFF1	0.015724	634	29465	Veillonella
EFF1	0.015724	634	122277	Pectobacterium
EFF1	0.015724	634	2812025	Syntrophotalea
EFF1	0.015675	632	2013	Nocardiopsis
EFF1	0.015675	632	261963	Kangiella
EFF1	0.015625	630	146	Spirochaeta
EFF1	0.015452	623	29526	Syntrophobacter
EFF1	0.015402	621	2719231	Lacrimispora
EFF1	0.015303	617	551	Erwinia
EFF1	0.015303	617	305899	Endozoicomonas
EFF1	0.015278	616	1041	Erythrobacter
EFF1	0.015228	614	1158	Oscillatoria
EFF1	0.015228	614	152267	Pigmentiphaga
EFF1	0.015204	613	2946607	Neotabrizicola
EFF1	0.015154	611	267986	Owenweeksia
EFF1	0.015104	609	35829	Acetivibrio
EFF1	0.015104	609	156993	Reichenbachiella
EFF1	0.01508	608	168934	Thalassospira
EFF1	0.01508	608	2807415	Urbifossiella
EFF1	0.01503	606	155977	Acaryochloris
EFF1	0.01498	604	29404	Microlunatus
EFF1	0.014931	602	104267	Tenacibaculum
EFF1	0.014906	601	1348911	Coprobacter
EFF1	0.014906	601	3025755	Thomasclavelia
EFF1	0.014782	596	83614	Luteimonas
EFF1	0.014708	593	18	Pelobacter
EFF1	0.014708	593	2800373	Priestia
EFF1	0.014584	588	153265	Aequorivita
EFF1	0.014559	587	84111	Eggerthella
EFF1	0.014534	586	1375	Aerococcus
EFF1	0.014484	584	223785	Hydrogenimonas
EFF1	0.014385	580	209	Helicobacter
EFF1	0.01436	579	1773450	Anseongella
EFF1	0.01436	579	2678885	Faecalibacillus
EFF1	0.014311	577	447020	Adlercreutzia
EFF1	0.014286	576	745	Pasteurella
EFF1	0.014137	570	48075	Marinobacterium
EFF1	0.014112	569	1021	Beggiatoa
EFF1	0.014063	567	114627	Alkaliphilus
EFF1	0.014063	567	397864	Barnesiella
EFF1	0.014038	566	861914	Fibrella
EFF1	0.014038	566	1055692	Chitinolyticbacter
EFF1	0.013939	562	150830	Roseibium
EFF1	0.013939	562	2904716	Desulfosudis
EFF1	0.013765	555	1696	Brevibacterium
EFF1	0.013715	553	2892997	Candidatus Viadribacter
EFF1	0.013691	552	2840454	Candidatus Formimonas
EFF1	0.013517	545	349742	Sedimenticola
EFF1	0.013418	541	2160	Methanobacterium
EFF1	0.013418	541	2375	Sporomusa
EFF1	0.013418	541	2674996	Tellurirhabdus
EFF1	0.013368	539	97050	Ruegeria
EFF1	0.013343	538	67575	Rheinheimera
EFF1	0.013294	536	1524214	Vulgatibacter
EFF1	0.013244	534	114248	Tepidimonas
EFF1	0.013219	533	46352	Agrococcus
EFF1	0.013195	532	1847	Pseudonocardia
EFF1	0.013195	532	508459	Cloacibacillus
EFF1	0.013195	532	1905344	Ruthenibacterium
EFF1	0.013195	532	2923290	Candidatus Sulfidibacterium
EFF1	0.012996	524	129337	Geobacillus
EFF1	0.012996	524	365032	Aureispira
EFF1	0.012947	522	1184396	Mesotoga
EFF1	0.012922	521	300264	Silvimonas
EFF1	0.012847	518	75687	Neptunomonas
EFF1	0.012847	518	84406	Virgibacillus
EFF1	0.012823	517	1649486	Rhizorhabdus
EFF1	0.012773	515	898	Desulfomicrobium
EFF1	0.012773	515	1101	Prosthecochloris
EFF1	0.012773	515	204447	Skermanella
EFF1	0.012773	515	288021	Kordiimonas
EFF1	0.012773	515	1579506	Roseimaritima
EFF1	0.012773	515	2916693	Desulforamulus
EFF1	0.012748	514	1186	Calothrix
EFF1	0.012748	514	795750	Ignavibacterium
EFF1	0.012699	512	1572860	Hartmannibacter
EFF1	0.012674	511	2034	Curtobacterium
EFF1	0.012674	511	34084	Riemerella
EFF1	0.012599	508	44	Melittangium
EFF1	0.012599	508	53357	Intrasporangium
EFF1	0.012575	507	1676125	Thermogutta
EFF1	0.012575	507	2822410	Methylotuvimicrobium
EFF1	0.01255	506	3079908	Picosynechococcus
EFF1	0.012525	505	33024	Phascolarctobacterium
EFF1	0.012525	505	361106	Desulfoglaeba
EFF1	0.0125	504	1152	Pseudanabaena
EFF1	0.012451	502	2828338	Croceimicrobium
EFF1	0.012351	498	28253	Marinomonas
EFF1	0.012277	495	2063	Kitasatospora
EFF1	0.012277	495	68288	Cyclobacterium
EFF1	0.012227	493	160674	Raoultella
EFF1	0.012227	493	1193324	Alkalitalea
EFF1	0.012203	492	169055	Nordella
EFF1	0.012178	491	585890	Chitiniphilus
EFF1	0.012103	488	55968	Leucobacter
EFF1	0.012079	487	2946507	Microvenator
EFF1	0.012054	486	279	Xanthobacter
EFF1	0.012054	486	59734	Empedobacter
EFF1	0.01193	481	162171	Magnetococcus
EFF1	0.011905	480	864	Pectinatus
EFF1	0.01188	479	414371	Aureimonas
EFF1	0.01188	479	2897349	Candidatus Uabimicrobium
