contig_ID,Methylation_MAG
s25.ctg059061l,NA
s4575.ctg019822l,NA
s7727.ctg008943l,NA
s27021.ctg032531l,NA
s15774.ctg018635l,NA
s23497.ctg028030l,NA
s25.ctg055275l,NA
s2352.ctg002662l,NA
s266.ctg004678l,NA
s13344.ctg015698l,NA
s383.ctg006040l,NA
s29829.ctg036202l,NA
s3795.ctg029212l,NA
s1282.ctg056438l,NA
s5101.ctg028383l,NA
s722.ctg016834l,NA
s5121.ctg005869l,NA
s10408.ctg012173l,NA
s25.ctg006691l,NA
s25.ctg058015l,NA
s307.ctg020873l,NA
s38491.ctg048009l,NA
s20874.ctg024814l,NA
s12438.ctg014616l,NA
s40856.ctg051869l,NA
s935.ctg001027l,NA
s2827.ctg003183l,NA
s17.ctg002795l,NA
s27863.ctg033635l,NA
s390.ctg030941l,NA
s8886.ctg010334l,NA
s22398.ctg026675l,NA
s9684.ctg011310l,NA
s19436.ctg023086l,NA
s1160.ctg001274l,NA
s43238.ctg056901l,NA
s7337.ctg008492l,NA
s5203.ctg005964l,NA
s1191.ctg056384l,NA
s9359.ctg010918l,NA
s12284.ctg014427l,NA
s42708.ctg055606l,NA
s17.ctg056712l,NA
s4579.ctg036969l,NA
s25.ctg012889l,NA
s2380.ctg002693l,NA
s225.ctg000243c,NA
s16850.ctg037254l,NA
s25.ctg053945l,NA
s283.ctg000306l,NA
s5631.ctg006477l,NA
s4279.ctg004871l,NA
s13535.ctg015926c,NA
s8489.ctg009863l,NA
s25.ctg036242l,NA
s33183.ctg040647l,NA
s14836.ctg017495c,NA
s3995.ctg004536l,NA
s717.ctg038814l,NA
s5000.ctg005722l,NA
s13670.ctg016087c,NA
s17.ctg046405l,NA
s26712.ctg032133l,NA
s31849.ctg038822l,NA
s2383.ctg019180l,NA
s41542.ctg053128l,NA
s32318.ctg039456l,NA
s17440.ctg020665l,NA
s940.ctg008035l,NA
s3911.ctg030621l,NA
s28836.ctg034882l,NA
s33221.ctg040693l,NA
s25416.ctg030474l,NA
s3763.ctg034458l,NA
s1030.ctg012404l,NA
s14.ctg014695l,NA
s39532.ctg049617l,NA
s890.ctg031699l,NA
s902.ctg000989l,NA
s38374.ctg047828l,NA
s14.ctg026307l,NA
s42244.ctg054567l,NA
s2043.ctg017008l,NA
s6233.ctg007195c,NA
s24870.ctg029774l,NA
s25.ctg057088l,NA
s1273.ctg001404l,NA
s17.ctg032645l,NA
s31934.ctg038939l,NA
s9333.ctg010885l,NA
s4576.ctg005221c,NA
s662.ctg000717l,NA
s38740.ctg048374l,NA
s41793.ctg053586l,NA
s47.ctg001864l,NA
s61.ctg053054l,NA
s35707.ctg044051l,NA
s10137.ctg011856l,NA
s23964.ctg028620l,NA
s14.ctg055741l,NA
s47.ctg028635l,NA
s10242.ctg011978l,NA
s1225.ctg051696l,NA
s398.ctg003588l,NA
s3809.ctg024566l,NA
s47.ctg019627l,NA
s22173.ctg026399l,NA
s25.ctg029133l,NA
s25.ctg057748l,NA
s266.ctg038201l,NA
s25.ctg004934l,NA
s37907.ctg047153l,NA
s5459.ctg006275l,NA
s18323.ctg045128l,NA
s14.ctg002114l,NA
s25.ctg028255l,NA
s5549.ctg006381l,NA
s2102.ctg034116l,NA
s2102.ctg008648l,NA
s24366.ctg029135l,NA
s31286.ctg038096l,NA
s4430.ctg005056l,NA
s28034.ctg033861l,NA
s8966.ctg010429l,NA
s2150.ctg057027l,NA
s25.ctg041766l,NA
s2064.ctg017513l,NA
s30998.ctg037738l,NA
s32612.ctg039861l,NA
s21745.ctg025881c,NA
s266.ctg059752l,NA
s23217.ctg027676l,NA
s2699.ctg054866l,NA
s32992.ctg040396l,NA
s25.ctg058906l,NA
s29038.ctg035156l,NA
s6122.ctg007066c,NA
s5617.ctg006463l,NA
s307.ctg006999l,NA
s3958.ctg004496l,NA
s41895.ctg053794l,NA
s13696.ctg016116c,NA
s25.ctg021885l,NA
s1570.ctg040266l,NA
s1094.ctg006799l,NA
s7070.ctg027170l,NA
s35342.ctg043571l,NA
s1282.ctg020860l,NA
s25.ctg046956l,NA
s24392.ctg029166l,NA
s11040.ctg012940l,NA
s24954.ctg029879l,NA
s2829.ctg003185c,NA
s6318.ctg007291l,NA
s25.ctg012296l,NA
s4303.ctg004903l,NA
s74.ctg014501l,NA
s5915.ctg006819l,NA
s13507.ctg015891c,NA
s38692.ctg048298l,NA
s12394.ctg014568l,NA
s6731.ctg007777l,NA
s2163.ctg002449l,NA
s34577.ctg042521l,NA
s6486.ctg007487l,NA
s13910.ctg016374l,NA
s6936.ctg030313l,NA
s2498.ctg006292l,NA
s3518.ctg047932l,NA
s1225.ctg022505l,NA
s981.ctg058929l,NA
s25.ctg011203l,NA
s354.ctg013173l,NA
s8594.ctg009993l,NA
s6116.ctg007059l,NA
s4152.ctg050941l,NA
s5664.ctg006513l,NA
s11152.ctg013075l,NA
s1718.ctg001918l,NA
s37221.ctg046150l,NA
s853.ctg023739l,NA
s31859.ctg038836l,NA
s2699.ctg025868l,NA
s12825.ctg015075l,NA
s1593.ctg001774c,NA
s18746.ctg022246l,NA
s35726.ctg044072l,NA
s33608.ctg041194l,NA
s20047.ctg023819c,NA
s7345.ctg008502l,NA
s31122.ctg037891l,NA
s14737.ctg017373l,NA
s1339.ctg001484c,NA
s6110.ctg007052l,NA
s41650.ctg053324l,NA
s1282.ctg028292l,NA
s999.ctg048770l,NA
s994.ctg050940l,NA
s6269.ctg007236c,NA
s307.ctg054450l,NA
s22951.ctg027342l,NA
s4142.ctg004709l,NA
s10859.ctg012723l,NA
s25.ctg050560l,NA
s17724.ctg021008l,NA
s17.ctg019036l,NA
s25.ctg027826l,NA
s25882.ctg031088l,NA
s12638.ctg029794l,NA
s9864.ctg016518l,NA
s29317.ctg035528l,NA
s43138.ctg056625l,NA
s23940.ctg028587l,NA
s25.ctg017317l,NA
s34934.ctg043016l,NA
s6543.ctg007559l,NA
s25.ctg013438l,NA
s23619.ctg028174l,NA
s4316.ctg004919l,NA
s37754.ctg046926l,NA
s359.ctg000388l,NA
s168.ctg000182c,NA
s9588.ctg011196c,NA
s5920.ctg006825l,NA
s2705.ctg033737l,NA
s17.ctg041816l,NA
s432.ctg000472l,NA
s20773.ctg024696l,NA
s238.ctg010517l,NA
s7177.ctg008301l,NA
s14371.ctg016933l,NA
s19623.ctg023301l,NA
s373.ctg010648l,NA
s7530.ctg008719c,NA
s12413.ctg014588l,NA
s33720.ctg041341c,NA
s14877.ctg017543l,NA
s24498.ctg029303l,NA
s4978.ctg005693c,NA
s11.ctg003978l,NA
s28141.ctg034005l,NA
s6058.ctg006990c,NA
s21724.ctg025857l,NA
s20552.ctg024426l,NA
s39633.ctg049772l,NA
s42170.ctg054417l,NA
s9882.ctg011552c,NA
s25.ctg014584l,NA
s30957.ctg037681l,NA
s5552.ctg049302l,NA
s25.ctg037830l,NA
s25.ctg010540l,NA
s24336.ctg029099c,NA
s11203.ctg013133l,NA
s12367.ctg014533c,NA
s25.ctg030553l,NA
s25.ctg054327l,NA
s1385.ctg001535c,NA
s25.ctg000668l,NA
s3215.ctg003624l,NA
s22540.ctg026841l,NA
s6393.ctg015418l,NA
s1395.ctg001546l,NA
s2618.ctg002951c,NA
s307.ctg031560l,NA
s25.ctg052366l,NA
s25.ctg010093l,NA
s1803.ctg002020l,NA
s26896.ctg032365l,NA
s82.ctg007598l,NA
s22469.ctg026760l,NA
s27803.ctg033551c,NA
s5833.ctg006727l,NA
s1030.ctg054755l,NA
s4115.ctg015416l,NA
s11951.ctg014020l,NA
s6527.ctg007534l,NA
s24429.ctg029213l,NA
s392.ctg004956l,NA
s12416.ctg014591l,NA
s5243.ctg006014l,NA
s4800.ctg005483l,NA
s14848.ctg017508c,NA
s22302.ctg026551l,NA
s6666.ctg007708l,NA
s20631.ctg024524l,NA
s21782.ctg025930l,NA
s30804.ctg037479l,NA
s25.ctg054992l,NA
s1026.ctg001124l,NA
s17.ctg041473l,NA
s19963.ctg023715l,NA
s7638.ctg008843l,NA
s21535.ctg025619l,NA
s31780.ctg038738l,NA
s5135.ctg028776l,NA
s34823.ctg042861l,NA
s238.ctg015616l,NA
s25.ctg008002l,NA
s25.ctg042619l,NA
s30306.ctg036825l,NA
s23921.ctg028564l,NA
s1951.ctg054611l,NA
s41854.ctg053697l,NA
s7047.ctg011187l,NA
s3681.ctg053677l,NA
s17.ctg017066l,NA
s17047.ctg052281l,NA
s89.ctg000094l,NA
s22095.ctg026304l,NA
s10518.ctg012309l,NA
s7895.ctg009140c,NA
s25.ctg021360l,NA
s22982.ctg027380l,NA
s43121.ctg056577l,NA
s1057.ctg001159l,NA
s8779.ctg010202l,NA
s25976.ctg031207c,NA
s26229.ctg031523l,NA
s5910.ctg006813c,NA
s9344.ctg010898l,NA
s37292.ctg046256l,NA
s35064.ctg043183l,NA
s345.ctg049115l,NA
s3483.ctg003946l,NA
s330.ctg034402l,NA
s21548.ctg025636l,NA
s4445.ctg005077l,NA
s25.ctg037160l,NA
s28349.ctg034265l,NA
s11223.ctg013157l,NA
s39190.ctg049068l,NA
s14036.ctg016523l,NA
s559.ctg016213l,NA
s38570.ctg048121l,NA
