Contig_Names,Name
s3007.ctg004328l,semibin2_31
s3109.ctg004491l,semibin2_31
s7410.ctg010725l,semibin2_31
s8484.ctg012291l,semibin2_31
s9440.ctg013668l,semibin2_31
s11339.ctg016420l,semibin2_31
s34811.ctg051638l,semibin2_31
s1.ctg000411l,metabat2.807
s1.ctg000604l,metabat2.807
s1.ctg003299l,metabat2.807
s1.ctg004045l,metabat2.807
s1.ctg004124l,metabat2.807
s1.ctg005857l,metabat2.807
s1.ctg007765l,metabat2.807
s1.ctg020697l,metabat2.807
s27578.ctg040353l,metabat2.807
s1.ctg000106l,metabat2.34
s1.ctg001056l,metabat2.34
s1.ctg001482l,metabat2.34
s1457.ctg002046l,metabat2.34
s2097.ctg002991l,metabat2.34
s3849.ctg005567l,metabat2.34
s1.ctg006136l,metabat2.34
s4821.ctg006969l,metabat2.34
s8772.ctg012726l,metabat2.34
s1.ctg001232l,semibin2_13
s1.ctg001736l,semibin2_13
s1.ctg003189l,semibin2_13
s1.ctg003931l,semibin2_13
s3121.ctg004509l,semibin2_13
s3888.ctg005622l,semibin2_13
s1.ctg006112l,semibin2_13
s1.ctg010991l,semibin2_13
s16485.ctg023790l,semibin2_13
s17337.ctg024987l,semibin2_13
s51.ctg000064l,metabat2.998
s51.ctg000250l,metabat2.998
s51.ctg000318l,metabat2.998
s51.ctg000358l,metabat2.998
s429.ctg000617l,metabat2.998
s51.ctg001493l,metabat2.998
s51.ctg001609l,metabat2.998
s51.ctg002324l,metabat2.998
s51.ctg002438l,metabat2.998
s51.ctg003091l,metabat2.998
s51.ctg005637l,metabat2.998
s1.ctg000658l,metabat2.364
s1.ctg002263l,metabat2.364
s1.ctg002778l,metabat2.364
s1.ctg003082l,metabat2.364
s1.ctg006035l,metabat2.364
s1.ctg007433l,metabat2.364
s1.ctg009182l,metabat2.364
s1.ctg009638l,metabat2.364
s1.ctg010876l,metabat2.364
s1.ctg017274l,metabat2.364
s1.ctg021241l,metabat2.364
s221.ctg000288l,semibin2_24
s311.ctg000438l,semibin2_24
s426.ctg000609l,semibin2_24
s607.ctg000862l,semibin2_24
s2682.ctg003848l,semibin2_24
s7738.ctg011221l,semibin2_24
s10518.ctg015225l,semibin2_24
s14658.ctg021145l,semibin2_24
s16417.ctg023678l,semibin2_24
s16909.ctg024384l,semibin2_24
s24529.ctg035686l,semibin2_24
s211.ctg000278l,semibin2_9
s262.ctg000357l,semibin2_9
s1.ctg000400l,semibin2_9
s1.ctg000743l,semibin2_9
s1150.ctg001619l,semibin2_9
s1150.ctg002060l,semibin2_9
s1150.ctg002967l,semibin2_9
s2721.ctg003909l,semibin2_9
s5408.ctg007816l,semibin2_9
s13929.ctg020105l,semibin2_9
s19988.ctg028886l,semibin2_9
s31681.ctg046709l,semibin2_9
s34427.ctg051041l,semibin2_9
s72.ctg000090l,semibin2_17
s1.ctg000158l,semibin2_17
s240.ctg000314l,semibin2_17
s1.ctg000608l,semibin2_17
s545.ctg000770l,semibin2_17
s2148.ctg003072l,semibin2_17
s2802.ctg004030l,semibin2_17
s8496.ctg012316l,semibin2_17
s11143.ctg016135l,semibin2_17
s21643.ctg031352l,semibin2_17
s33666.ctg049792l,semibin2_17
s39183.ctg059330l,semibin2_17
s42141.ctg065802l,semibin2_17
s415.ctg000592l,metabat2.437
s1053.ctg001489l,metabat2.437
s1591.ctg002239l,metabat2.437
s1.ctg002541l,metabat2.437
s1.ctg003110l,metabat2.437
s2436.ctg003491l,metabat2.437
s2865.ctg004125l,metabat2.437
s4522.ctg006538l,metabat2.437
s4703.ctg006804l,metabat2.437
s4940.ctg007130l,metabat2.437
s5991.ctg008681l,metabat2.437
s15241.ctg021963l,metabat2.437
s23040.ctg033442l,metabat2.437
s378.ctg000545l,metabat2.455
s1123.ctg001579l,metabat2.455
s1552.ctg002189l,metabat2.455
s7934.ctg011503l,metabat2.455
s8208.ctg011906l,metabat2.455
s12181.ctg017589l,metabat2.455
s18390.ctg026539l,metabat2.455
s22900.ctg033230l,metabat2.455
s23135.ctg033599l,metabat2.455
s26149.ctg038189l,metabat2.455
s34145.ctg050570l,metabat2.455
s35919.ctg053437l,metabat2.455
s36389.ctg054238l,metabat2.455
s36457.ctg054353l,metabat2.455
s308.ctg000435l,semibin2_93
s343.ctg000484l,semibin2_93
s1.ctg000749l,semibin2_93
s964.ctg001355l,semibin2_93
s1428.ctg002004l,semibin2_93
s2329.ctg003337l,semibin2_93
s3305.ctg004770l,semibin2_93
s4233.ctg006135l,semibin2_93
s5329.ctg007703l,semibin2_93
s7335.ctg010614l,semibin2_93
s11696.ctg016921l,semibin2_93
