Contig_Names	Name
s211.ctg000278l, s262.ctg000357l, s1.ctg000400l, s1.ctg000743l, s1150.ctg001619l, s1150.ctg002060l, s1150.ctg002967l, s2721.ctg003909l, s5408.ctg007816l, s13929.ctg020105l, s19988.ctg028886l, s31681.ctg046709l, s34427.ctg051041l	semibin2_9
s72.ctg000090l, s1.ctg000158l, s240.ctg000314l, s1.ctg000608l, s545.ctg000770l, s2148.ctg003072l, s2802.ctg004030l, s8496.ctg012316l, s11143.ctg016135l, s21643.ctg031352l, s33666.ctg049792l, s39183.ctg059330l, s42141.ctg065802l	semibin2_17
s415.ctg000592l, s1053.ctg001489l, s1591.ctg002239l, s1.ctg002541l, s1.ctg003110l, s2436.ctg003491l, s2865.ctg004125l, s4522.ctg006538l, s4703.ctg006804l, s4940.ctg007130l, s5991.ctg008681l, s15241.ctg021963l, s23040.ctg033442l	metabat2.437
s378.ctg000545l, s1123.ctg001579l, s1552.ctg002189l, s7934.ctg011503l, s8208.ctg011906l, s12181.ctg017589l, s18390.ctg026539l, s22900.ctg033230l, s23135.ctg033599l, s26149.ctg038189l, s34145.ctg050570l, s35919.ctg053437l, s36389.ctg054238l, s36457.ctg054353l	metabat2.455
s308.ctg000435l, s343.ctg000484l, s1.ctg000749l, s964.ctg001355l, s1428.ctg002004l, s2329.ctg003337l, s3305.ctg004770l, s4233.ctg006135l, s5329.ctg007703l, s7335.ctg010614l, s11696.ctg016921l, s13289.ctg019181l, s13525.ctg019526l, s20958.ctg030325l, s45321.ctg074148l	semibin2_93
s1.ctg001193l, s1.ctg002385l, s1.ctg002573l, s2195.ctg003136l, s2807.ctg004037l, s1.ctg009507l, s1.ctg010681l, s7524.ctg010907l, s1.ctg012116l, s1.ctg018780l, s1.ctg019602l, s1.ctg020707l, s33600.ctg049681l, s37561.ctg056309l, s40109.ctg061221l	metabat2.1239
s829.ctg001168l, s829.ctg001997l, s829.ctg002590l, s829.ctg002884l, s829.ctg003142l, s829.ctg003732l, s829.ctg004347l, s829.ctg006329l, s829.ctg006840l, s829.ctg009449l, s829.ctg009746l, s829.ctg012398l, s829.ctg014876l, s13428.ctg019378l, s829.ctg047522l, s829.ctg062059l	metabat2.84
s1859.ctg002658l, s14401.ctg020782l, s16774.ctg024202l, s17219.ctg024818l, s17303.ctg024939l, s19619.ctg028349l, s20519.ctg029661l, s21008.ctg030405l, s24897.ctg036273l, s26412.ctg038582l, s27122.ctg039670l, s30733.ctg045237l, s31084.ctg045756l, s32522.ctg048006l, s33895.ctg050165l, s34390.ctg050982l, s36406.ctg054263l	semibin2_79
s405.ctg000581l, s2642.ctg003790l, s3571.ctg005152l, s4488.ctg006487l, s5699.ctg008259l, s5930.ctg008591l, s7874.ctg011406l, s8586.ctg012452l, s9396.ctg013599l, s12796.ctg018466l, s14750.ctg021272l, s17012.ctg024524l, s17601.ctg025391l, s22668.ctg032870l, s24951.ctg036358l, s25320.ctg036931l, s25994.ctg037970l	semibin2_15
s406.ctg000582l, s671.ctg000950l, s2102.ctg003001l, s2251.ctg003227l, s2862.ctg004121l, s3779.ctg005465l, s4600.ctg006668l, s6122.ctg008860l, s6793.ctg009834l, s7098.ctg010259l, s8629.ctg012521l, s9682.ctg014010l, s11659.ctg016867l, s12080.ctg017439l, s13387.ctg019315l, s16560.ctg023905l, s36478.ctg054399l	semibin2_55
s192.ctg000255l, s51.ctg000649l, s1035.ctg001461l, s51.ctg002085l, s2086.ctg002977l, s51.ctg004415l, s51.ctg006152l, s51.ctg007518l, s51.ctg007870l, s7064.ctg010212l, s51.ctg011063l, s8052.ctg011673l, s8115.ctg011764l, s51.ctg012010l, s8606.ctg012480l, s51.ctg012684l, s10992.ctg015906l, s12835.ctg018518l, s13817.ctg019947l	metabat2.744
