clade_name	EFF1	EFF2	EFF3	INF1	INF2	INF3	SLU1	SLU2	SLU3
d__Bacteria|p__Acidobacteriota|c__Holophagae|o__Holophagales|f__Holophagaceae|g__Geothrix	0.1499	0.1579	0.1831	0.0	0.0	0.0366	0.0013	0.0	0.0
d__Bacteria|p__Acidobacteriota|c__Holophagae|o__Holophagales|f__Holophagaceae|g__Holophaga	0.0	0.0	0.0	0.0	0.0	0.0032	0.0111	0.0085	0.006
d__Bacteria|p__Acidobacteriota|c__Holophagae|o__Holophagales|f__Holophagaceae|g__JANXPB01	0.0048	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Acidobacteriota|c__Terriglobia|o__Bryobacterales|f__Bryobacteraceae|g__CAADGY01	0.0	0.0	0.0	0.0	0.0	0.001	0.0043	0.0089	0.0034
d__Bacteria|p__Acidobacteriota|c__Terriglobia|o__Bryobacterales|f__Bryobacteraceae|g__CADEFT01	0.0038	0.0	0.0	0.0	0.0	0.007	0.0	0.0024	0.0074
d__Bacteria|p__Acidobacteriota|c__Terriglobia|o__Bryobacterales|f__Bryobacteraceae|g__Ga0077553	0.0	0.0227	0.0	0.0	0.0	0.0066	0.0	0.0	0.0
d__Bacteria|p__Acidobacteriota|c__Terriglobia|o__Bryobacterales|f__Bryobacteraceae|g__JACTMJ01	0.0	0.0	0.0	0.0011	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Acidobacteriota|c__Terriglobia|o__Bryobacterales|f__Bryobacteraceae|g__JADZAF01	0.0	0.0	0.0	0.0	0.0	0.0008	0.0	0.0	0.0
d__Bacteria|p__Acidobacteriota|c__Terriglobia|o__Bryobacterales|f__Bryobacteraceae|g__Paludibaculum	0.0035	0.0091	0.0	0.0	0.0	0.001	0.0	0.0	0.0
d__Bacteria|p__Acidobacteriota|c__Thermoanaerobaculia|o__Multivoradales|f__UBA5704|g__JAAYLR01	0.0097	0.0643	0.0148	0.0	0.0	0.0	0.0	0.0	0.0
