Contig_Names,HiFi_MAG_Pipeline
s36.ctg011931l,NA
s8482.ctg009670l,NA
s10056.ctg011512l,NA
s336.ctg047419l,NA
s36.ctg049333l,NA
s36.ctg020230l,NA
s36.ctg029792l,NA
s43944.ctg056615l,NA
s36.ctg048810l,NA
s36.ctg056599l,NA
s30.ctg015888l,NA
s25845.ctg030446c,NA
s6639.ctg007522l,NA
s20998.ctg024525l,NA
s43992.ctg056741l,NA
s36.ctg018194l,NA
s36.ctg023311l,NA
s36.ctg047754l,NA
s36.ctg053664l,NA
s7817.ctg008902l,NA
s16273.ctg018884l,NA
s25075.ctg029491l,NA
s36.ctg050142l,NA
s2732.ctg041740l,NA
s617.ctg049398l,NA
s36.ctg023093l,NA
s26440.ctg031190l,NA
s15.ctg039713l,NA
s28775.ctg034074l,NA
s36.ctg051695l,NA
s36.ctg051716l,NA
s36.ctg037383l,NA
s24194.ctg028436l,NA
s155.ctg022618l,NA
s6105.ctg019215l,NA
s5579.ctg006302l,NA
s680.ctg021412l,NA
s1022.ctg001123l,NA
s25459.ctg029964l,NA
s3486.ctg003888c,NA
s36.ctg029637l,NA
s32715.ctg039021l,NA
s67.ctg037598l,NA
s8323.ctg041341l,NA
s31853.ctg037963l,NA
s22610.ctg026492l,NA
s43150.ctg054864l,NA
s3778.ctg004215l,NA
s5273.ctg005950l,NA
s36.ctg006309l,NA
s30767.ctg036572l,NA
s9155.ctg010468l,NA
s26041.ctg030688l,NA
s891.ctg000981l,NA
s5932.ctg006704c,NA
s329.ctg038335l,NA
s36.ctg047357l,NA
s36.ctg042565l,NA
s7135.ctg008087l,NA
s36.ctg060393l,NA
s30.ctg052233l,NA
s36.ctg022114l,NA
s15943.ctg018488l,NA
s214.ctg046760l,NA
s30392.ctg036101l,NA
s21948.ctg025693l,NA
s36.ctg040911l,NA
s7227.ctg008186l,NA
s31278.ctg037219c,NA
s9550.ctg010927c,NA
s42996.ctg054534l,NA
s2009.ctg008733l,NA
s16707.ctg019399l,NA
s15257.ctg017675l,NA
s1.ctg046605l,NA
s30.ctg056298l,NA
s36.ctg047825l,NA
s35385.ctg042488l,NA
s31035.ctg036897c,NA
s15211.ctg017618l,NA
s6105.ctg056437l,NA
s36.ctg012856l,NA
s5305.ctg005985l,NA
s10126.ctg024493l,NA
s24981.ctg029382c,NA
s6674.ctg007565c,NA
s26239.ctg030947c,NA
s10563.ctg012110l,NA
s30.ctg045642l,NA
s26729.ctg031545c,NA
s20154.ctg023544l,NA
s42268.ctg053104l,NA
s36.ctg060514l,NA
s36.ctg055260l,NA
s38804.ctg047319l,NA
s24771.ctg029135c,NA
s2393.ctg002653l,NA
s30.ctg000453l,NA
s19343.ctg022563l,NA
s738.ctg049180l,NA
s30.ctg048048l,NA
s3094.ctg003443l,NA
s24066.ctg028277l,NA
s2570.ctg002859l,NA
s4553.ctg005102l,NA
s24343.ctg028616c,NA
s7.ctg051093l,NA
s888.ctg000978c,NA
s20902.ctg024416l,NA
s36.ctg048314l,NA
s36.ctg055135l,NA
s27664.ctg032693l,NA
s6783.ctg007684l,NA
s4857.ctg008256l,NA
s22516.ctg026376l,NA
s18086.ctg021034l,NA
s35511.ctg042667l,NA
s36.ctg059799l,NA
s36.ctg014322l,NA
s27182.ctg032115l,NA
s14022.ctg016202l,NA
s23680.ctg027801l,NA
s9072.ctg010375c,NA
s16308.ctg018925l,NA
s5384.ctg008175l,NA
s6014.ctg006795l,NA
s32444.ctg038688l,NA
s17804.ctg020704l,NA
s40687.ctg050286l,NA
s22844.ctg026772l,NA
s22710.ctg026602l,NA
s2991.ctg031341l,NA
s17309.ctg020100l,NA
s28070.ctg033193l,NA
s13094.ctg045222l,NA
s151.ctg051736l,NA
s42971.ctg054485l,NA
s13653.ctg015755l,NA
s7452.ctg008461l,NA
s28349.ctg033550c,NA
s67.ctg038184l,NA
s37839.ctg045858l,NA
s28548.ctg033799l,NA
s20092.ctg023471c,NA
s22695.ctg026585l,NA
s25585.ctg030123l,NA
s426.ctg018414l,NA
s36.ctg008836l,NA
s40544.ctg050048l,NA
s28074.ctg033198l,NA
s28.ctg031231l,NA
s16425.ctg044529l,NA
s2732.ctg004233l,NA
s20626.ctg024088l,NA
s12695.ctg014620l,NA
s437.ctg000485c,NA
s98.ctg053205l,NA
s7415.ctg035989l,NA
s4072.ctg004554l,NA
s24519.ctg028825l,NA
s7449.ctg054706l,NA
s13345.ctg015384l,NA
s53.ctg000054c,NA
s36.ctg049759l,NA
s23697.ctg027821l,NA
s67.ctg012600l,NA
s23152.ctg027157l,NA
s4857.ctg050565l,NA
s848.ctg058012l,NA
s24790.ctg029157l,NA
s5553.ctg006274l,NA
s941.ctg006316l,NA
s18681.ctg021752c,NA
s30.ctg016032l,NA
s38687.ctg047135l,NA
s18210.ctg021180l,NA
s36.ctg056410l,NA
s617.ctg039264l,NA
s16162.ctg018752l,NA
s36.ctg059105l,NA
s7897.ctg009000l,NA
s4963.ctg034049l,NA
s36.ctg043571l,NA
s21112.ctg024653c,NA
s2069.ctg002294l,NA
s4758.ctg005341l,NA
s19809.ctg023117l,NA
s36.ctg055015l,NA
s29757.ctg035293l,NA
s9847.ctg011270l,NA
s36.ctg019922l,NA
s18998.ctg022134c,NA
s15031.ctg017391l,NA
s6768.ctg007669l,NA
s36.ctg034454l,NA
s9391.ctg010740l,NA
s30239.ctg035907l,NA
s8415.ctg009595c,NA
s36.ctg051316l,NA
s9472.ctg010831l,NA
s426.ctg050876l,NA
s4342.ctg004861c,NA
s32960.ctg039339l,NA
s38064.ctg046185l,NA
s12017.ctg013812c,NA
s3413.ctg007119l,NA
s40112.ctg049342l,NA
s1051.ctg047318l,NA
s26855.ctg031697l,NA
s2935.ctg003267c,NA
s14862.ctg017195c,NA
s5819.ctg006581c,NA
s36.ctg029321l,NA
s36786.ctg044411l,NA
s20488.ctg023932c,NA
s36.ctg056822l,NA
s36.ctg054728l,NA
s7.ctg018989l,NA
s34977.ctg041965l,NA
s15382.ctg017829l,NA
s8703.ctg009931l,NA
s27519.ctg032511l,NA
s28142.ctg033284l,NA
s8827.ctg010080l,NA
s36305.ctg043766l,NA
s13503.ctg033238l,NA
s36.ctg054150l,NA
s36.ctg056487l,NA
s4664.ctg005231l,NA
s15093.ctg017465l,NA
s2077.ctg002303c,NA
s23465.ctg027547l,NA
s5889.ctg054618l,NA
s2268.ctg002517l,NA
s32275.ctg038490l,NA
s10166.ctg011637l,NA
s24775.ctg029141l,NA
s43638.ctg055866l,NA
s29061.ctg034425l,NA
s16104.ctg018679l,NA
s182.ctg006935l,NA
s23992.ctg028183c,NA
s35313.ctg042386l,NA
s29586.ctg035071l,NA
s2075.ctg002301l,NA
s15719.ctg018219l,NA
s36.ctg054280l,NA
s22377.ctg026200l,NA
s12305.ctg014145l,NA
s35398.ctg042507l,NA
